Category;Title;Ingredients
entree;Sapin feuilleté apéritif;pesto, pâte feuilletée, jaune d'oeuf
entree;Gaspacho de courgettes au Carré Frais;sel, poivre, vinaigre de xérès, huile d'olive, oignon, courgette, bouillon de volaille, pain, carré frais, carré frais, eau, cerfeuil, pain
entree;Terrine de sanglier à l'armagnac;gros sel, huile d'olive, thym, feuille de laurier, poivre, carotte, oignon, thym, sel, armagnac, persil, sanglier, porc, échalote, oeuf, lait, porc, ail, vin blanc, céleri
entree;Brick/Samossa à la viande hachée et au fromage;sel, poivre, huile de friture, oignon, oeuf, brick, Vache qui rit®, boeuf haché
entree;Bricks tunisienne;sel, poivre, huile, coriandre, oignon, brick, oeuf, thon, salade, citron
entree;Velouté glacé de menthe et petits pois au Thermomix;beurre, crème fraîche, petits pois, échalote, bouillon de volaille, menthe, sel et poivre
entree;Velouté d'asperges vertes;poivre, oignon, asperge, pomme de terre, cube de bouillon, cube de bouillon, eau, crème fraîche épaisse
entree;Velouté de Topinambours;huile d'arachide, sel, poivre, beurre, oignon, topinambour, huile de truffe, bouillon de volaille
entree;Feuilletés au chèvre et au miel;thym, miel liquide, pâte feuilletée, chèvre frais, jaune d'oeuf
entree;Gaspacho concombre menthe;poivre, sel, concombre, menthe, citron
entree;Soupe courge Butternut, carotte, pomme de terre;poivre, gros sel, huile d'olive, romarin, oignon, carotte, courge, pomme de terre, pomme, ail, bouillon de légumes
entree;Tourte aux poireaux;sel, poivre, pâte brisée, beurre, oignon, poireau, oeuf
entree;Velouté d'asperges en bocal;poivre, asperge, lait concentré non sucré, cube de bouillon, cerfeuil, eau
entree;Soupe aux 7 légumes au Companion;beurre, crème fraîche, oignon, courgette, tomate, poireau, carotte, navet, pomme de terre, céleri, bouillon
entree;Feuilletés au chorizo;sauce tomate, gruyère râpé, pâte feuilletée, chorizo, oeuf
entree;Gazpacho Andaluz;sel, vinaigre, huile d'olive, oignon, poivron vert, tomate, concombre, ail
entree;Soupe de courgettes à la Vache qui rit® au Cookeo;poivre, courgette, Vache qui rit®, ail, bouillon de légumes
entree;Soupe de petits poissons de roche (Méditerranée);huile d'olive, sel, poivre, safran, feuille de laurier, oignon, tomate, poisson, blanc de poireau, pomme de terre, concentré de tomates, fenouil, ail
entree;Tartare de tomates;pesto, huile d'olive, tomate, pomme, basilic
entree;soupe de betterave chaude;sel, poivre, betterave, pomme de terre, cube de bouillon, kiri
entree;Soupe à l'oignon au Cookeo;huile d'olive, beurre, farine, comté, oignon, pain de mie, vin blanc, bouillon
entree;Velouté d'asperges blanche;poivre, sel, beurre, oignon, asperge, pomme de terre, échalote, crème semi-épaisse, ciboulette, cube de bouillon, cube de bouillon
entree;Terrine de lapin;poivre, sel, oignon, lapin, porc, barde de lard, ail, oeuf, lait
entree;Soupe de potiron et châtaigne;coriandre, sel, poivre, oignon, carotte, potiron, châtaignes
entree;Bricks au thon et à l'oeuf;huile d'olive, sel, brick, oeuf, thon, câpres, citron
entree;Soupe de pois chiches;sel, poivre, huile d'olive, carotte, clou de girofle, oignon, pois chiches, bouquet garni, concentré de tomates
entree;Bricks au thon;oignon, thon, pomme de terre, jaune d'oeuf, brick
entree;Feuilletés aux escargots;sel, poivre, persil, beurre, crème fraîche, escargot, girolles, bouchée feuilletée, échalote
entree;Quiche tomate mozzarella et basilic;poivre, crème fraîche, tomates cerise, pâte brisée, gruyère, mozzarella, oeuf, basilic, lait
entree;Velouté de butternut et châtaignes;butternut, oignon, châtaignes, crème liquide, huile d'olive, sel, sucre, poivre
entree;Carpaccio de saumon fumé et de betterave chioggia;huile d'olive, sel, poivre, aneth, betterave, saumon fumé, citron, fromage frais
